编号!@#文本!@#拆分信息!@#（粗粒度）分词!@#（细粒度）分词!@#（auto粗粒度）分词!@#（auto细粒度）分词!@#词性!@#（auto）词性!@#时间!@#（auto）时间!@#地点!@#术语!@#（auto）地点!@#数量词!@#成分分析!@#（auto）成分分析!@#高阶模板!@#高阶模板类型!@#高阶模板线索词!@#二阶模板!@#二阶模板类型!@#二阶模板线索词!@#选项问句!@#（auto）高阶模板!@#（auto）二阶模板!@#（auto）高阶模板线索词!@#(auto)选项问句!@#（auto）二阶模板线索词!@#（auto）高阶模板类型!@#（auto）二阶模板类型!@#选项类别!@#题干前导类型!@#题干核心类型!@#题干核心动词!@#可删除的套话!@#上下文信息
1-A!@#当好奇号探测车登陆火星表面时，美国肯尼迪航天中心（28°30′N，80°42′W）的区时是	8月5日13时31分!@#None!@#当 好奇号 探测车 登陆 火星 表面 时 ， 美国肯尼迪航天中心 （ 28°30′N ， 80°42′W ） 的 区时 是 8月5日13时31分!@#当 好奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月 5日 13时 31分!@#当 好奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28°30′N ， 80°42′W ） 的 区时 是 8月5日13时31分!@#当 好奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28°30′N ， 80°42′W ） 的 区时 是 8月 5日 13时 31分!@#P NN NN VV loc NN LC PU loc PU num PU num PU DEG NN VC time!@#P NN NN VV NR NN LC PU NR PU NN PU NN PU DEG NN VC NN!@#17!@#17!@#4 8!@#15!@#!@#10 12!@#!@#( (IP (PP (P 当) (LCP (IP (NP (NN 好奇号) (NN 探测车)) (VP (VV 登陆) (NP (NR 火星) (NN 表面)))) (LC 时))) (PU ，) (NP (DNP (NP (NR 美国肯尼迪航天中心) (PRN (PU （) (QP (CD 28°30′N) (PU ，) (CD 80°42′W)) (PU ）))) (DEG 的)) (NP (NN 区时))) (VP (VC 是) (NP (NT 8月5日13时31分)))) )!@#!@#!@#!@#指示_0(美国肯尼迪航天中心（28°30′N，80°42′W）的区时,8月5日13时31分)!@#指示!@#0_16!@#8-17!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#时间状语!@#名词短语+动词短语!@#16!@#!@#
15-D!@#⑤为黄土高原农业果业基地，其最大的生态效益是	美化环境!@#None!@#⑤ 为 黄土高原 农业 果业 基地 ， 其 最 大 的 生态 效益 是 美化 环境!@#⑤ 为 黄土 高原 农业 果业 基地 ， 其 最 大 的 生态 效益 是 美化 环境!@#⑤ 为 黄土高原 农业 果业 基地 ， 其 最 大 的 生态 效益 是 美化 环境!@#⑤ 为 黄土高原 农业 果业 基地 ， 其 最 大 的 生态 效益 是 美化 环境!@#NN VC loc NN NN NN PU PN AD VA DEC NN NN VC VV NN!@#NN VC NN NN NN NN PU PN AD VA DEC NN NN VC VV NN!@#!@#!@#2!@#11-12!@#!@#!@#!@#( (IP (IP (NP (NN ⑤)) (VP (VC 为) (NP (NP (NR 黄土高原)) (NP (NN 农业) (NN 果业) (NN 基地))))) (PU ，) (IP (NP (NP (PN 其)) (CP (IP (VP (ADVP (AD 最)) (VP (VA 大)))) (DEC 的)) (NP (NN 生态) (NN 效益))) (VP (VC 是) (VP (VV 美化) (NP (NN 环境)))))) )!@#!@#!@#!@#指示_0(其最大的生态效益,美化环境)!@#指示!@#0_13!@#7-15!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#!@#
16-A!@#⑥为畜牧奶业基地，其发展的优势区位因素主要是	靠近原料地!@#None!@#⑥ 为 畜牧 奶业 基地 ， 其 发展 的 优势 区位 因素 主要 是 靠近 原料地!@#⑥ 为 畜牧 奶业 基地 ， 其 发展 的 优势 区位 因素 主要 是 靠近 原料地!@#⑥ 为 畜牧 奶业 基地 ， 其 发展 的 优势 区位因素 主要 是 靠近 原料地!@#⑥ 为 畜牧 奶业 基地 ， 其 发展 的 优势 区位因素 主要 是 靠近 原料地!@#NN VC NN NN NN PU PN NN DEG NN NN NN AD VC VV NN!@#NN VC NN NN NN PU PN NN DEG NN NN NN AD VC VV NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (IP (NP (NN ⑥)) (VP (VC 为) (NP (NN 畜牧) (NN 奶业) (NN 基地)))) (PU ，) (IP (NP (NP (DNP (NP (NP (PN 其)) (NP (NN 发展))) (DEG 的)) (NP (NN 优势))) (NP (NN 区位) (NN 因素))) (VP (ADVP (AD 主要)) (VP (VC 是) (IP (VP (VV 靠近) (NP (NN 原料地)))))))) )!@#!@#!@#!@#指示_0(其发展的优势区位因素,靠近原料地)!@#指示!@#0_13!@#6-15!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#陈述句!@#名词短语+动词短语!@#13!@#12!@#
16-B!@#⑥为畜牧奶业基地，其发展的优势区位因素主要是	生态环境好!@#None!@#⑥ 为 畜牧 奶业 基地 ， 其 发展 的 优势 区位 因素 主要 是 生态 环境 好!@#⑥ 为 畜牧 奶业 基地 ， 其 发展 的 优势 区位 因素 主要 是 生态 环境 好!@#⑥ 为 畜牧 奶业 基地 ， 其 发展 的 优势 区位因素 主要 是 生态 环境 好!@#⑥ 为 畜牧 奶业 基地 ， 其 发展 的 优势 区位因素 主要 是 生态 环境 好!@#NN VC NN NN NN PU PN NN DEG NN NN NN AD VC NN NN VA!@#NN VC NN NN NN PU PN NN DEG NN NN NN AD VC NN NN VA!@#!@#!@#!@#!@#!@#!@#!@#( (IP (IP (NP (NN ⑥)) (VP (VC 为) (NP (NN 畜牧) (NN 奶业) (NN 基地)))) (PU ，) (IP (NP (NP (DNP (NP (NP (PN 其)) (NP (NN 发展))) (DEG 的)) (NP (NN 优势))) (NP (NN 区位) (NN 因素))) (VP (ADVP (AD 主要)) (VP (VC 是) (IP (NP (NN 生态) (NN 环境)) (VP (VA 好))))))) )!@#!@#!@#!@#指示_0(其发展的优势区位因素,生态环境好)!@#指示!@#0_13!@#6-16!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#12!@#
16-C!@#⑥为畜牧奶业基地，其发展的优势区位因素主要是	靠近市场!@#None!@#⑥ 为 畜牧 奶业 基地 ， 其 发展 的 优势 区位 因素 主要 是 靠近 市场!@#⑥ 为 畜牧 奶业 基地 ， 其 发展 的 优势 区位 因素 主要 是 靠近 市场!@#⑥ 为 畜牧 奶业 基地 ， 其 发展 的 优势 区位因素 主要 是 靠近 市场!@#⑥ 为 畜牧 奶业 基地 ， 其 发展 的 优势 区位因素 主要 是 靠近 市场!@#NN VC NN NN NN PU PN NN DEG NN NN NN AD VC VV NN!@#NN VC NN NN NN PU PN NN DEG NN NN NN AD VC VV NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (IP (NP (NN ⑥)) (VP (VC 为) (NP (NN 畜牧) (NN 奶业) (NN 基地)))) (PU ，) (IP (NP (NP (DNP (NP (NP (PN 其)) (NP (NN 发展))) (DEG 的)) (NP (NN 优势))) (NP (NN 区位) (NN 因素))) (VP (ADVP (AD 主要)) (VP (VC 是) (VP (VV 靠近) (NP (NN 市场))))))) )!@#!@#!@#!@#指示_0(其发展的优势区位因素,靠近市场)!@#指示!@#0_13!@#6-15!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#12!@#
16-D!@#⑥为畜牧奶业基地，其发展的优势区位因素主要是	劳动力廉价!@#None!@#⑥ 为 畜牧 奶业 基地 ， 其 发展 的 优势 区位 因素 主要 是 劳动力 廉价!@#⑥ 为 畜牧 奶业 基地 ， 其 发展 的 优势 区位 因素 主要 是 劳动力 廉价!@#⑥ 为 畜牧 奶业 基地 ， 其 发展 的 优势 区位因素 主要 是 劳动力 廉价!@#⑥ 为 畜牧 奶业 基地 ， 其 发展 的 优势 区位因素 主要 是 劳动力 廉价!@#NN VC NN NN NN PU PN NN DEG NN NN NN AD VC NN VA!@#NN VC NN NN NN PU PN NN DEG NN NN NN AD VC NN VA!@#!@#!@#!@#!@#!@#!@#!@#( (IP (IP (NP (NN ⑥)) (VP (VC 为) (NP (NN 畜牧) (NN 奶业) (NN 基地)))) (PU ，) (IP (NP (NP (DNP (NP (NP (PN 其)) (NP (NN 发展))) (DEG 的)) (NP (NN 优势))) (NP (NN 区位) (NN 因素))) (VP (ADVP (AD 主要)) (VP (VC 是) (VP (NP (NN 劳动力)) (VP (VA 廉价))))))) )!@#!@#!@#!@#指示_0(其发展的优势区位因素,劳动力廉价)!@#指示!@#0_13!@#6-15!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#12!@#
17-A!@#据图可判断	①②③曲线依次表示雪线高度、降水量、气温!@#None!@#据图 可 判断 ① ② ③ 曲线 依次 表示 雪线 高度 、 降水量 、 气温!@#据图 可 判断 ① ② ③ 曲线 依次 表示 雪线 高度 、 降水量 、 气温!@#据 图 可 判断 ① ② ③ 曲线 依次 表示 雪线 高度 、 降水量 、 气温!@#据 图 可 判断 ① ② ③ 曲线 依次 表示 雪线 高度 、 降水量 、 气温!@#NN VV VV NN NN NN NN AD VV term NN PU NN PU NN!@#AD VV VV NN NN NN NN AD VV NN NN PU NN PU NN!@#!@#!@#!@#9!@#!@#!@#!@#( (IP (IP (NP (NN 据图)) (VP (VV 可) (VP (VV 判断) (NP (NN ①) (NN ②))))) (NP (NN ③) (NN 曲线)) (VP (ADVP (AD 依次)) (VP (VV 表示) (NP (NP (NN 雪线)) (NP (NN 高度) (PU 、) (NN 降水量) (PU 、) (NN 气温)))))) )!@#!@#!@#!@#指示_0(①②③曲线,雪线高度、降水量、气温)!@#指示!@#0_7-8!@#3-14!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#null!@#null!@#!@#0-2!@#
17-B!@#据图可判断	多年平均雪线高度在南半球低纬度地区最大!@#None!@#据 图 可 判断 多年 平均 雪线 高度 在 南半球 低纬度 地区 最 大!@#据 图 可 判断 多年 平均 雪线 高度 在 南半球 低 纬度 地区 最 大!@#据 图 可 判断 多年 平均 雪线 高度 在 南半球 低纬度 地区 最 大!@#据 图 可 判断 多年 平均 雪线 高度 在 南半球 低纬度 地区 最 大!@#P NN VV VV NN JJ NN NN P term term NN AD VA!@#P NN VV VV NN JJ NN NN P NN NN NN AD VA!@#!@#!@#!@#6 9 10!@#10!@#!@#!@#( (PP (P 据) (IP (NP (NN 图)) (VP (VV 可) (VP (VV 判断) (IP (NP (NP (NN 多年)) (ADJP (JJ 平均)) (NP (NN 雪线) (NN 高度))) (VP (PP (P 在) (NP (NP (NN 南半球) (NN 低纬度)) (NP (NN 地区)))) (ADVP (AD 最)) (VP (VA 大)))))))) )!@#!@#!@#!@#比较_0(多年平均雪线高度在南半球低纬度地区,#,最大)!@#比较!@#0_12!@#4-13!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0-3!@#
17-C!@#据图可判断	中纬度地区雪线高度与降水量的变化基本一致!@#None!@#据 图 可 判断 中纬度 地区 雪线 高度 与 降水量 的 变化 基本 一致!@#据 图 可 判断 中 纬度 地区 雪线 高度 与 降水量 的 变化 基本 一致!@#据 图 可 判断 中纬度 地区 雪线 高度 与 降水量 的 变化 基本 一致!@#据 图 可 判断 中纬度 地区 雪线 高度 与 降水量 的 变化 基本 一致!@#P NN VV VV term NN NN NN CC NN DEG NN AD VV!@#P NN VV VV NN NN NN NN CC NN DEG NN AD VV!@#!@#!@#!@#4 6 9!@#!@#!@#!@#( (PP (P 据) (IP (NP (NN 图)) (VP (VV 可) (VP (VP (VV 判断) (NP (DNP (NP (NP (NP (NN 中纬度) (NN 地区)) (NP (NN 雪线))) (NP (NN 高度) (CC 与) (NN 降水量))) (DEG 的)) (NP (NN 变化)))) (VP (ADVP (AD 基本)) (VP (VV 一致))))))) )!@#!@#!@#!@#比较_0(中纬度地区,雪线高度的变化,中纬度地区,降水量的变化,一致)!@#比较!@#0_13!@#4-13!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0-3!@#
17-D!@#据图可判断	高纬度地区雪线高度与气温变化趋势一致!@#None!@#据 图 可 判断 高纬度 地区 雪线 高度 与 气温 变化 趋势 一致!@#据 图 可 判断 高 纬度 地区 雪线 高度 与 气温 变化 趋势 一致!@#据 图 可 判断 高纬度 地区 雪线 高度 与 气温 变化 趋势 一致!@#据 图 可 判断 高纬度 地区 雪线 高度 与 气温 变化 趋势 一致!@#P NN VV VV term NN NN NN P NN NN NN VV!@#P NN VV VV NN NN NN NN P NN NN NN VV!@#!@#!@#!@#4 6!@#!@#!@#!@#( (IP (IP (VP (PP (P 据) (NP (NN 图))) (VP (VV 可) (VP (VV 判断) (NP (NP (NN 高纬度) (NN 地区)) (NP (NN 雪线) (NN 高度))))))) (VP (PP (P 与) (NP (NN 气温) (NN 变化) (NN 趋势))) (VP (VV 一致)))) )!@#!@#!@#!@#比较_0(中纬度地区,雪线高度变化趋势,中纬度地区,气温变化趋势,一致)!@#比较!@#0_12!@#4-12!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#0-3!@#
18-A!@#全球气候变暖可能导致	全球各地降水减少!@#None!@#全球 气候 变 暖 可能 导致 全球 各 地 降水 减少!@#全球 气候 变 暖 可能 导致 全球 各 地 降水 减少!@#全球 气候 变 暖 可能 导致 全球 各 地 降水 减少!@#全球 气候 变 暖 可能 导致 全球 各 地 降水 减少!@#NN NN VV VA VV VV NN DT NN NN VV!@#NN NN VV VA AD VV NN DT NN NN VV!@#!@#!@#!@#0-3!@#!@#!@#!@#( (IP (NP (NN 全球) (NN 气候)) (VP (VRD (VV 变) (VA 暖)) (VP (VV 可能) (VP (VV 导致) (IP (NP (NP (NP (NN 全球)) (DP (DT 各)) (NP (NN 地))) (NP (NN 降水))) (VP (VV 减少))))))) )!@#后果_0(全球气候变暖,全球各地降水减少)!@#后果!@#0_5!@#变化_0(全球各地降水,#,减少)!@#变化!@#0_10!@#6-10!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#null!@#名词短语+动词短语!@#5!@#4!@#
18-B!@#全球气候变暖可能导致	低纬度山地雪线下降!@#None!@#全球 气候 变 暖 可能 导致 低纬度 山地 雪线 下降!@#全球 气候 变 暖 可能 导致 低 纬度 山地 雪线 下降!@#全球 气候 变 暖 可能 导致 低纬度 山地 雪线 下降!@#全球 气候 变 暖 可能 导致 低纬度 山地 雪线 下降!@#NN NN VV VA VV VV NN NN NN VV!@#NN NN VV VA AD VV NN NN NN VV!@#!@#!@#!@#0-3 6 8!@#!@#!@#!@#( (IP (NP (NN 全球) (NN 气候)) (VP (VRD (VV 变) (VA 暖)) (VP (VV 可能) (VP (VV 导致) (IP (NP (NP (NN 低纬度) (NN 山地)) (NP (NN 雪线))) (VP (VV 下降))))))) )!@#后果_0(全球气候变暖,低纬度山地雪线下降)!@#后果!@#0_5!@#变化_0(低纬度山地雪线,#,下降)!@#变化!@#0_9!@#6-9!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#4!@#
18-C!@#全球气候变暖可能导致	高纬度地区农业产量增大!@#None!@#全球 气候 变 暖 可能 导致 高纬度 地区 农业 产量 增大!@#全球 气候 变 暖 可能 导致 高 纬度 地区 农业 产量 增大!@#全球 气候 变 暖 可能 导致 高纬度 地区 农业 产量 增大!@#全球 气候 变 暖 可能 导致 高纬度 地区 农业 产量 增大!@#NN NN VV VA VV VV NN NN NN NN VV!@#NN NN VV VA AD VV NN NN NN NN VV!@#!@#!@#!@#0-3 6!@#!@#!@#!@#( (IP (NP (NN 全球) (NN 气候)) (VP (VRD (VV 变) (VA 暖)) (VP (VV 可能) (VP (VV 导致) (IP (NP (NP (NN 高纬度) (NN 地区)) (NP (NN 农业) (NN 产量))) (VP (VV 增大))))))) )!@#后果_0（全球气候变暖,高纬度地区农业产量增大）!@#后果!@#0_5!@#变化_0（高纬度地区农业产量,#,增大）!@#变化!@#0_10!@#6-10!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#4!@#
18-D!@#全球气候变暖可能导致	中纬度温度带北移!@#None!@#全球 气候 变 暖 可能 导致 中纬度 温度带 北移!@#全球 气候 变 暖 可能 导致 中 纬度 温度带 北移!@#全球 气候 变 暖 可能 导致 中纬度 温度带 北移!@#全球 气候 变 暖 可能 导致 中纬度 温度带 北移!@#NN NN VV VA VV VV term NN VV!@#NN NN VV VA AD VV NN NN VV!@#!@#!@#!@#0-3 6 7!@#!@#!@#!@#( (IP (NP (NN 全球) (NN 气候)) (VP (VRD (VV 变) (VA 暖)) (VP (VV 可能) (VP (VV 导致) (IP (NP (NN 中纬度) (NN 温度带)) (VP (VV 北移))))))) )!@#后果_0(全球气候变暖,中纬度温度带北移)!@#后果!@#0_5!@#变化_0(中纬度温度带,#,北移)!@#变化!@#0_8!@#6-8!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#4!@#
19-A!@#限制温室气体的排放，直接减弱的主要是	大气逆辐射!@#None!@#限制 温室 气体 的 排放 ， 直接 减弱 的 主要 是 大气逆辐射!@#限制 温室 气体 的 排放 ， 直接 减弱 的 主要 是 大气 逆 辐射!@#限制 温室 气体 的 排放 ， 直接 减弱 的 主要 是 大气逆辐射!@#限制 温室 气体 的 排放 ， 直接 减弱 的 主要 是 大气逆辐射!@#VV NN NN DEC NN PU AD VV DEC AD VC term!@#VV NN NN DEC NN PU AD VV DEC AD VC NN!@#!@#!@#!@#1-2 11!@#!@#!@#!@#( (IP (NP (CP (IP (VP (VV 限制) (NP (NN 温室) (NN 气体)))) (DEC 的)) (NP (NN 排放))) (PU ，) (NP (CP (IP (VP (ADVP (AD 直接)) (VP (VV 减弱)))) (DEC 的))) (VP (ADVP (AD 主要)) (VP (VC 是) (NP (NN 大气逆辐射))))) )!@#!@#!@#!@#指示_0(限制温室气体的排放，直接减弱的,大气逆辐射)!@#指示!@#0_10!@#0-11!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#陈述句!@#动词短语!@#7!@#9!@#
19-B!@#限制温室气体的排放，直接减弱的主要是	大气对太阳辐射的吸收作用!@#None!@#限制 温室 气体 的 排放 ， 直接 减弱 的 主要 是 大气 对 太阳辐射 的 吸收 作用!@#限制 温室 气体 的 排放 ， 直接 减弱 的 主要 是 大气 对 太阳 辐射 的 吸收 作用!@#限制 温室 气体 的 排放 ， 直接 减弱 的 主要 是 大气 对 太阳辐射 的 吸收 作用!@#限制 温室 气体 的 排放 ， 直接 减弱 的 主要 是 大气 对 太阳辐射 的 吸收 作用!@#VV NN NN DEC NN PU AD VV DEC AD VC NN P term DEG NN NN!@#VV NN NN DEC NN PU AD VV DEC AD VC NN P NN DEG NN NN!@#!@#!@#!@#1-2 11 13!@#!@#!@#!@#( (IP (NP (CP (IP (VP (VV 限制) (NP (NN 温室) (NN 气体)))) (DEC 的)) (NP (NN 排放))) (PU ，) (NP (CP (IP (VP (ADVP (AD 直接)) (VP (VV 减弱)))) (DEC 的))) (VP (ADVP (AD 主要)) (VP (VC 是) (NP (NP (NN 大气)) (DNP (PP (P 对) (NP (NN 太阳辐射))) (DEG 的)) (NP (NN 吸收) (NN 作用)))))) )!@#!@#!@#!@#指示_0(限制温室气体的排放，直接减弱的,大气对太阳辐射的吸收作用)!@#指示!@#0_10!@#0-16!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#9!@#
19-C!@#限制温室气体的排放，直接减弱的主要是	大气对地面辐射的吸收作用!@#None!@#限制 温室 气体 的 排放 ， 直接 减弱 的 主要 是 大气 对 地面辐射 的 吸收 作用!@#限制 温室 气体 的 排放 ， 直接 减弱 的 主要 是 大气 对 地面 辐射 的 吸收 作用!@#限制 温室 气体 的 排放 ， 直接 减弱 的 主要 是 大气 对 地面辐射 的 吸收 作用!@#限制 温室 气体 的 排放 ， 直接 减弱 的 主要 是 大气 对 地面辐射 的 吸收 作用!@#VV NN NN DEC NN PU AD VV DEC AD VC NN P term DEG NN NN!@#VV NN NN DEC NN PU AD VV DEC AD VC NN P NN DEG NN NN!@#!@#!@#!@#1-2 13!@#!@#!@#!@#( (IP (NP (CP (IP (VP (VV 限制) (NP (NN 温室) (NN 气体)))) (DEC 的)) (NP (NN 排放))) (PU ，) (NP (CP (IP (VP (ADVP (AD 直接)) (VP (VV 减弱)))) (DEC 的))) (VP (ADVP (AD 主要)) (VP (VC 是) (NP (NP (NN 大气)) (DNP (PP (P 对) (NP (NN 地面辐射))) (DEG 的)) (NP (NN 吸收) (NN 作用)))))) )!@#!@#!@#!@#指示_0(限制温室气体的排放，直接减弱的,大气对地面辐射的吸收作用)!@#指示!@#0_10!@#0-16!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#9!@#
19-D!@#限制温室气体的排放，直接减弱的主要是	大气对太阳辐射的反射、散射作用!@#None!@#限制 温室 气体 的 排放 ， 直接 减弱 的 主要 是 大气 对 太阳辐射 的 反射 、 散射 作用!@#限制 温室 气体 的 排放 ， 直接 减弱 的 主要 是 大气 对 太阳 辐射 的 反射 、 散射 作用!@#限制 温室 气体 的 排放 ， 直接 减弱 的 主要 是 大气 对 太阳辐射 的 反射 、 散射 作用!@#限制 温室 气体 的 排放 ， 直接 减弱 的 主要 是 大气 对 太阳辐射 的 反射 、 散射 作用!@#VV NN NN DEC NN PU AD VV DEC AD VC NN P term DEG NN PU NN NN!@#VV NN NN DEC NN PU AD VV DEC AD VC NN P NN DEG NN PU NN NN!@#!@#!@#!@#1-2 13!@#!@#!@#!@#( (IP (NP (CP (IP (VP (VV 限制) (NP (NN 温室) (NN 气体)))) (DEC 的)) (NP (NN 排放))) (PU ，) (NP (CP (IP (VP (ADVP (AD 直接)) (VP (VV 减弱)))) (DEC 的))) (VP (ADVP (AD 主要)) (VP (VC 是) (NP (NP (NN 大气)) (DNP (PP (P 对) (NP (NN 太阳辐射))) (DEG 的)) (NP (NN 反射) (PU 、) (NN 散射)) (NP (NN 作用)))))) )!@#!@#!@#!@#指示_0(限制温室气体的排放，直接减弱的,大气对地面辐射的吸收作用)!@#指示!@#0_10!@#0-16!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#9!@#
20-A!@#三省区的排序与图序相符的是	藏、晋、沪!@#None!@#三 省区 的 排序 与 图序 相符 的 是 藏 、 晋 、 沪!@#三 省区 的 排序 与 图序 相符 的 是 藏 、 晋 、 沪!@#三 省区 的 排序 与 图序 相符 的 是 藏 、 晋 、 沪!@#三 省区 的 排序 与 图序 相符 的 是 藏 、 晋 、 沪!@#CD NN DEG NN CC NN VV DEC VC loc PU loc PU loc!@#CD NN DEG NN CC NN VV DEC VC NR PU NR PU NR!@#!@#!@#9 11 13!@#!@#!@#!@#!@#( (IP (NP (CP (IP (NP (DNP (NP (QP (CD 三)) (NP (NN 省区))) (DEG 的)) (NP (NN 排序) (CC 与) (NN 图序))) (VP (VV 相符))) (DEC 的))) (VP (VC 是) (NP (NR 藏) (PU 、) (NR 晋) (PU 、) (NR 沪)))) )!@#!@#!@#!@#指示_0(三省区的排序与图序相符的,藏、晋、沪)!@#指示!@#0_8!@#0-13!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#null!@#名词短语+动词短语!@#8!@#!@#
20-B!@#三省区的排序与图序相符的是	沪、藏、晋!@#None!@#三 省区 的 排序 与 图序 相符 的 是 沪 、 藏 、 晋!@#三 省区 的 排序 与 图序 相符 的 是 沪 、 藏 、 晋!@#三 省区 的 排序 与 图序 相符 的 是 沪 、 藏 、 晋!@#三 省区 的 排序 与 图序 相符 的 是 沪 、 藏 、 晋!@#CD NN DEG NN CC NN VV DEC VC loc PU loc PU loc!@#CD NN DEG NN CC NN VV DEC VC NR PU NR PU NR!@#!@#!@#9 11 13!@#!@#!@#!@#!@#( (IP (NP (CP (IP (NP (DNP (NP (QP (CD 三)) (NP (NN 省区))) (DEG 的)) (NP (NN 排序) (CC 与) (NN 图序))) (VP (VV 相符))) (DEC 的))) (VP (VC 是) (NP (NR 沪) (PU 、) (NR 藏) (PU 、) (NR 晋)))) )!@#!@#!@#!@#指示_0(三省区的排序与图序相符的,沪、藏、晋)!@#指示!@#0_8!@#0-13!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#!@#
20-C!@#三省区的排序与图序相符的是	晋、沪、藏!@#None!@#三 省区 的 排序 与 图序 相符 的 是 晋 、 沪 、 藏!@#三 省区 的 排序 与 图序 相符 的 是 晋 、 沪 、 藏!@#三 省区 的 排序 与 图序 相符 的 是 晋 、 沪 、 藏!@#三 省区 的 排序 与 图序 相符 的 是 晋 、 沪 、 藏!@#CD NN DEG NN CC NN VV DEC VC loc PU loc PU loc!@#CD NN DEG NN CC NN VV DEC VC NR PU NR PU NR!@#!@#!@#9 11 13!@#!@#!@#!@#!@#( (IP (NP (CP (IP (NP (DNP (NP (QP (CD 三)) (NP (NN 省区))) (DEG 的)) (NP (NN 排序) (CC 与) (NN 图序))) (VP (VV 相符))) (DEC 的))) (VP (VC 是) (NP (NR 晋) (PU 、) (NR 沪) (PU 、) (NR 藏)))) )!@#!@#!@#!@#指示_0(三省区的排序与图序相符的,晋、沪、藏)!@#指示!@#0_8!@#0-13!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#!@#
20-D!@#三省区的排序与图序相符的是	晋、藏、沪!@#None!@#三 省区 的 排序 与 图序 相符 的 是 晋 、 藏 、 沪!@#三 省区 的 排序 与 图序 相符 的 是 晋 、 藏 、 沪!@#三 省区 的 排序 与 图序 相符 的 是 晋 、 藏 、 沪!@#三 省区 的 排序 与 图序 相符 的 是 晋 、 藏 、 沪!@#CD NN DEG NN CC NN VV DEC VC loc PU loc PU loc!@#CD NN DEG NN CC NN VV DEC VC NR PU NR PU NR!@#!@#!@#9 11 13!@#!@#!@#!@#!@#( (IP (NP (CP (IP (NP (DNP (NP (QP (CD 三)) (NP (NN 省区))) (DEG 的)) (NP (NN 排序) (CC 与) (NN 图序))) (VP (VV 相符))) (DEC 的))) (VP (VC 是) (NP (NR 晋) (PU 、) (NR 藏) (PU 、) (NR 沪)))) )!@#!@#!@#!@#指示_0(三省区的排序与图序相符的,晋、藏、沪)!@#指示!@#0_8!@#0-13!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#!@#
