编号!@#文本!@#拆分信息!@#（粗粒度）分词!@#（细粒度）分词!@#（auto粗粒度）分词!@#（auto细粒度）分词!@#词性!@#（auto）词性!@#时间!@#（auto）时间!@#地点!@#术语!@#（auto）地点!@#数量词!@#成分分析!@#（auto）成分分析!@#高阶模板!@#高阶模板类型!@#高阶模板线索词!@#二阶模板!@#二阶模板类型!@#二阶模板线索词!@#选项问句!@#（auto）高阶模板!@#（auto）二阶模板!@#（auto）高阶模板线索词!@#(auto)选项问句!@#（auto）二阶模板线索词!@#（auto）高阶模板类型!@#（auto）二阶模板类型!@#选项类别!@#题干前导类型!@#题干核心类型!@#题干核心动词!@#可删除的套话!@#上下文信息
1-A!@#下列关于A、B两地大气状况的叙述，正确的是	气压：A地低于B地!@#None!@#下列 关于 A、B两地 大气 状况 的 叙述 ， 正确 的 是 气压 ： A地 低于 B地!@#下列 关于 A 、 B 两地 大气 状况 的 叙述 ， 正确 的 是 气压 ： A地 低于 B地!@#下列 关于 A 、 B 两 地 大气 状况 的 叙述 ， 正确 的 是 气压 ： A地 低于 B地!@#下列 关于 A 、 B 两 地 大气 状况 的 叙述 ， 正确 的 是 气压 ： A地 低于 B地!@#JJ P loc NN NN DEG NN PU VA DEC VC term PU loc VV loc!@#JJ P NN NN NN DEG NN PU VA DEC VC NN NT NN VV NN!@#!@#!@#2 13 15!@#11!@#!@#!@#!@#( (IP (IP (NP (ADJP (JJ 下列)) (DNP (PP (P 关于) (NP (NP (NR A、B两地) (NN 大气)) (NP (NN 状况)))) (DEG 的)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (NP (NN 气压)))) (PU ：) (NP (NR A地)) (VP (VV 低于) (NP (NR B地)))) )!@#!@#!@#!@#比较_0(A地,气压,B地,气压,低)!@#比较!@#0_14!@#11-15!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#自定义类别!@#自定义类别!@#!@#0-1 5-10!@#2-4
12-D!@#甲、乙两农业区共同的区位条件及生产特征是	水旱灾害频发，水利工程量大!@#y!@#甲 、 乙 两 农业区 共同 的 区位 条件 及 生产 特征 是 水旱 灾害 频发 ， 水利 工程量 大!@#甲 、 乙 两 农业区 共同 的 区位 条件 及 生产 特征 是 水旱 灾害 频发 ， 水利 工程量 大!@#甲 、 乙 两 农业区 共同 的 区位条件 及 生产 特征 是 水旱 灾害 频发 ， 水利 工程量 大!@#甲 、 乙 两 农业区 共同 的 区位条件 及 生产 特征 是 水旱 灾害 频发 ， 水利 工程量 大!@#CD PU NN CD NN JJ DEG NN NN CC NN NN VC term NN VV PU NN NN VA!@#NN PU NN CD NN JJ DEG NN NN CC NN NN VC NN NN VV PU NN NN VA!@#!@#!@#!@#13!@#!@#!@#!@#( (IP (LST (CD 甲)) (PU 、) (NP (NP (NP (NN 乙)) (QP (CD 两)) (NP (NN 农业区))) (DNP (ADJP (JJ 共同)) (DEG 的)) (NP (NN 区位) (NN 条件) (CC 及) (NN 生产) (NN 特征))) (VP (VC 是) (IP (IP (NP (NN 水旱) (NN 灾害)) (VP (VV 频发))) (PU ，) (IP (NP (NN 水利) (NN 工程量)) (VP (VA 大)))))) )!@#!@#!@#!@#指示_0(甲、乙两农业区共同的区位条件及生产特征,水旱灾害频发，水利工程量大)!@#指示!@#0_12!@#0-19!@#!@#!@#!@#!@#!@#!@#!@#自定义类别!@#!@#!@#!@#!@#
12-D-0!@#甲、乙两农业区共同的区位条件及生产特征是	水旱灾害频发!@#ed-ori!@#甲 、 乙 两 农业区 共同 的 区位 条件 及 生产 特征 是 水旱 灾害 频发!@#甲 、 乙 两 农业区 共同 的 区位 条件 及 生产 特征 是 水旱 灾害 频发!@#甲 、 乙 两 农业区 共同 的 区位条件 及 生产 特征 是 水旱 灾害 频发!@#甲 、 乙 两 农业区 共同 的 区位条件 及 生产 特征 是 水旱 灾害 频发!@#CD PU NN CD NN JJ DEG NN NN CC NN NN VC term NN VV!@#NN PU NN CD NN JJ DEG NN NN CC NN NN VC NN NN VV!@#!@#!@#!@#13!@#!@#!@#!@#( (IP (LST (CD 甲)) (PU 、) (NP (NP (NP (NN 乙)) (QP (CD 两)) (NP (NN 农业区))) (DNP (ADJP (JJ 共同)) (DEG 的)) (NP (NN 区位) (NN 条件) (CC 及) (NN 生产) (NN 特征))) (VP (VC 是) (IP (NP (NN 水旱) (NN 灾害)) (VP (VV 频发))))) )!@#!@#!@#!@#指示_0(甲、乙两农业区共同的区位条件及生产特征,水旱灾害频发)!@#指示!@#0_12!@#0-15!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#!@#
12-D-1!@#甲、乙两农业区共同的区位条件及生产特征是	水利工程量大!@#ed-ori!@#甲 、 乙 两 农业区 共同 的 区位 条件 及 生产 特征 是 水利 工程量 大!@#甲 、 乙 两 农业区 共同 的 区位 条件 及 生产 特征 是 水利 工程量 大!@#甲 、 乙 两 农业区 共同 的 区位条件 及 生产 特征 是 水利 工程量 大!@#甲 、 乙 两 农业区 共同 的 区位条件 及 生产 特征 是 水利 工程量 大!@#CD PU NN CD NN JJ DEG NN NN CC NN NN VC NN NN VA!@#NN PU NN CD NN JJ DEG NN NN CC NN NN VC NN NN VA!@#!@#!@#!@#!@#!@#!@#!@#( (IP (LST (CD 甲)) (PU 、) (NP (NP (NP (NN 乙)) (QP (CD 两)) (NP (NN 农业区))) (DNP (ADJP (JJ 共同)) (DEG 的)) (NP (NN 区位) (NN 条件) (CC 及) (NN 生产) (NN 特征))) (VP (VC 是) (IP (NP (NN 水利) (NN 工程量)) (VP (VA 大))))) )!@#!@#!@#!@#指示_0(甲、乙两农业区共同的区位条件及生产特征,水利工程量大)!@#指示!@#0_12!@#0-15!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#!@#
13-A!@#四个农业区中最可能位于美国中部平原和我国长江中下游平原的分别是	甲、丙!@#None!@#四个 农业区 中 最 可能 位于 美国中部平原 和 我国 长江中下游平原 的 分别 是 甲 、 丙!@#四个 农业区 中 最 可能 位于 美国 中部 平原 和 我国 长江 中下游 平原 的 分别 是 甲 、 丙!@#四 个 农业区 中 最 可能 位于 美国 中部 平原 和 我国 长江中下游平原 的 分别 是 甲 、 丙!@#四 个 农业区 中 最 可能 位于 美国 中部 平原 和 我国 长江中下游平原 的 分别 是 甲 、 丙!@#NN NN LC AD AD VV loc CC NR loc DEG AD VC NN PU NN!@#NN NN LC AD AD VV NR CC NR NR DEG AD VC NN PU NN!@#!@#!@#6 9!@#!@#6!@#!@#!@#( (IP (NP (CP (IP (LCP (NP (NN 四个) (NN 农业区)) (LC 中)) (VP (ADVP (AD 最)) (ADVP (AD 可能)) (VP (VV 位于) (NP (NR 美国中部平原) (CC 和) (NR 我国) (NR 长江中下游平原))))) (DEG 的))) (VP (ADVP (AD 分别)) (VP (VC 是) (NP (NN 甲) (PU 、) (NN 丙))))) )!@#!@#!@#!@#指示_0(位于美国中部平原和我国长江中下游平原的,甲、丙)!@#指示!@#0_11-12!@#5-15!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#null!@#名词短语+动词短语!@#11-12!@#3-4!@#0-2
13-B!@#四个农业区中最可能位于美国中部平原和我国长江中下游平原的分别是	乙、丁!@#None!@#四个 农业区 中 最 可能 位于 美国中部平原 和 我国 长江中下游平原 的 分别 是 乙 、 丁!@#四个 农业区 中 最 可能 位于 美国 中部 平原 和 我国 长江 中下游 平原 的 分别 是 乙 、 丁!@#四 个 农业区 中 最 可能 位于 美国 中部 平原 和 我国 长江中下游平原 的 分别 是 乙 、 丁!@#四 个 农业区 中 最 可能 位于 美国 中部 平原 和 我国 长江中下游平原 的 分别 是 乙 、 丁!@#NN NN LC AD AD VV loc CC NR loc DEG AD VC NN PU NN!@#NN NN LC AD AD VV NR CC NR NR DEG AD VC NN PU NN!@#!@#!@#6 9!@#!@#6!@#!@#!@#( (IP (NP (CP (IP (LCP (NP (NN 四个) (NN 农业区)) (LC 中)) (VP (ADVP (AD 最)) (ADVP (AD 可能)) (VP (VV 位于) (NP (NR 美国中部平原) (CC 和) (NR 我国) (NR 长江中下游平原))))) (DEG 的))) (VP (ADVP (AD 分别)) (VP (VC 是) (NP (NN 乙) (PU 、) (NN 丁))))) )!@#!@#!@#!@#指示_0(位于美国中部平原和我国长江中下游平原的,乙、丁)!@#指示!@#0_11-12!@#5-15!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#3-4!@#0-2
13-C!@#四个农业区中最可能位于美国中部平原和我国长江中下游平原的分别是	丙、甲!@#None!@#四个 农业区 中 最 可能 位于 美国中部平原 和 我国 长江中下游平原 的 分别 是 丙 、 甲!@#四个 农业区 中 最 可能 位于 美国 中部 平原 和 我国 长江 中下游 平原 的 分别 是 丙 、 甲!@#四 个 农业区 中 最 可能 位于 美国 中部 平原 和 我国 长江中下游平原 的 分别 是 丙 、 甲!@#四 个 农业区 中 最 可能 位于 美国 中部 平原 和 我国 长江中下游平原 的 分别 是 丙 、 甲!@#NN NN LC AD AD VV loc CC NR loc DEG AD VC NN PU NN!@#NN NN LC AD AD VV NR CC NR NR DEG AD VC NN PU NN!@#!@#!@#6 9!@#!@#6!@#!@#!@#( (IP (NP (CP (IP (LCP (NP (NN 四个) (NN 农业区)) (LC 中)) (VP (ADVP (AD 最)) (ADVP (AD 可能)) (VP (VV 位于) (NP (NR 美国中部平原) (CC 和) (NR 我国) (NR 长江中下游平原))))) (DEG 的))) (VP (ADVP (AD 分别)) (VP (VC 是) (NP (NN 丙) (PU 、) (NN 甲))))) )!@#!@#!@#!@#指示_0(位于美国中部平原和我国长江中下游平原的,丙、甲)!@#指示!@#0_11-12!@#5-15!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#3-4!@#0-2
13-D!@#四个农业区中最可能位于美国中部平原和我国长江中下游平原的分别是	丁、乙!@#None!@#四个 农业区 中 最 可能 位于 美国中部平原 和 我国 长江中下游平原 的 分别 是 丁 、 乙!@#四个 农业区 中 最 可能 位于 美国 中部 平原 和 我国 长江 中下游 平原 的 分别 是 丁 、 乙!@#四 个 农业区 中 最 可能 位于 美国 中部 平原 和 我国 长江中下游平原 的 分别 是 丁 、 乙!@#四 个 农业区 中 最 可能 位于 美国 中部 平原 和 我国 长江中下游平原 的 分别 是 丁 、 乙!@#NN NN LC AD AD VV loc CC NR loc DEG AD VC NN PU NN!@#NN NN LC AD AD VV NR CC NR NR DEG AD VC NN PU NN!@#!@#!@#6 9!@#!@#6!@#!@#!@#( (IP (NP (CP (IP (LCP (NP (NN 四个) (NN 农业区)) (LC 中)) (VP (ADVP (AD 最)) (ADVP (AD 可能)) (VP (VV 位于) (NP (NR 美国中部平原) (CC 和) (NR 我国) (NR 长江中下游平原))))) (DEG 的))) (VP (ADVP (AD 分别)) (VP (VC 是) (NP (NN 丁) (PU 、) (NN 乙))))) )!@#!@#!@#!@#指示_0(位于美国中部平原和我国长江中下游平原的,丁、乙)!@#指示!@#0_11-12!@#5-15!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#3-4!@#0-2
14-A!@#从阶段1到阶段4，推动该公司发展的最主要动力是	占领市场!@#None!@#从 阶段 1 到 阶段 4 ， 推动 该 公司 发展 的 最 主要 动力 是 占领 市场!@#从 阶段 1 到 阶段 4 ， 推动 该 公司 发展 的 最 主要 动力 是 占领 市场!@#从 阶 段 1到 阶 段 4 ， 推动 该 公司 发展 的 最 主要 动力 是 占领 市场!@#从 阶段 1 到 阶段 4 ， 推动 该 公司 发展 的 最 主要 动力 是 占领 市场!@#P NN NN P NN NN PU VV DT NN VV DEC AD JJ NN VC VV NN!@#P NN CD P NN CD PU VV DT NN VV DEC AD VA NN VC VV NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (PP (PP (P 从) (NP (NN 阶段) (NN 1))) (PP (P 到) (NP (NN 阶段) (NN 4)))) (PU ，) (NP (CP (IP (VP (VV 推动) (NP (DP (DT 该)) (NP (NN 公司))) (IP (VP (VV 发展))))) (DEC 的)) (ADJP (ADVP (AD 最)) (ADJP (JJ 主要))) (NP (NN 动力))) (VP (VC 是) (VP (VV 占领) (NP (NN 市场))))) )!@#!@#!@#!@#指示_0(从阶段1到阶段4，推动该公司发展的动力,占领市场)!@#指示!@#0_15!@#0-17!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#范围限定!@#名词短语+动词短语!@#15!@#12-13!@#
14-B!@#从阶段1到阶段4，推动该公司发展的最主要动力是	靠近原料地!@#None!@#从 阶段 1 到 阶段 4 ， 推动 该 公司 发展 的 最 主要 动力 是 靠近 原料地!@#从 阶段 1 到 阶段 4 ， 推动 该 公司 发展 的 最 主要 动力 是 靠近 原料地!@#从 阶 段 1到 阶 段 4 ， 推动 该 公司 发展 的 最 主要 动力 是 靠近 原料地!@#从 阶段 1 到 阶段 4 ， 推动 该 公司 发展 的 最 主要 动力 是 靠近 原料地!@#P NN NN P NN NN PU VV DT NN VV DEC AD JJ NN VC VV NN!@#P NN CD P NN CD PU VV DT NN VV DEC AD VA NN VC VV NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (PP (PP (P 从) (NP (NN 阶段) (NN 1))) (PP (P 到) (NP (NN 阶段) (NN 4)))) (PU ，) (NP (CP (IP (VP (VV 推动) (NP (DP (DT 该)) (NP (NN 公司))) (IP (VP (VV 发展))))) (DEC 的)) (ADJP (ADVP (AD 最)) (ADJP (JJ 主要))) (NP (NN 动力))) (VP (VC 是) (IP (VP (VV 靠近) (NP (NN 原料地)))))) )!@#!@#!@#!@#指示_0(从阶段1到阶段4，推动该公司发展的动力,靠近原料地)!@#指示!@#0_15!@#0-17!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#12-13!@#
14-C!@#从阶段1到阶段4，推动该公司发展的最主要动力是	获得廉价劳动力!@#None!@#从 阶段 1 到 阶段 4 ， 推动 该 公司 发展 的 最 主要 动力 是 获得 廉价 劳动力!@#从 阶段 1 到 阶段 4 ， 推动 该 公司 发展 的 最 主要 动力 是 获得 廉价 劳动力!@#从 阶 段 1到 阶 段 4 ， 推动 该 公司 发展 的 最 主要 动力 是 获得 廉价 劳动力!@#从 阶段 1 到 阶段 4 ， 推动 该 公司 发展 的 最 主要 动力 是 获得 廉价 劳动力!@#P NN NN P NN NN PU VV DT NN VV DEC AD JJ NN VC VV VA NN!@#P NN CD P NN CD PU VV DT NN VV DEC AD VA NN VC VV VA NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (PP (PP (P 从) (NP (NN 阶段) (NN 1))) (PP (P 到) (NP (NN 阶段) (NN 4)))) (PU ，) (NP (CP (IP (VP (VV 推动) (NP (DP (DT 该)) (NP (NN 公司))) (IP (VP (VV 发展))))) (DEC 的)) (ADJP (ADVP (AD 最)) (ADJP (JJ 主要))) (NP (NN 动力))) (VP (VC 是) (IP (VP (VV 获得) (NP (IP (VP (VA 廉价))) (NP (NN 劳动力))))))) )!@#!@#!@#!@#指示_0(从阶段1到阶段4，推动该公司发展的动力,获得廉价劳动力)!@#指示!@#0_15!@#0-18!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#12-13!@#
14-D!@#从阶段1到阶段4，推动该公司发展的最主要动力是	保障能源供应!@#None!@#从 阶段 1 到 阶段 4 ， 推动 该 公司 发展 的 最 主要 动力 是 保障 能源 供应!@#从 阶段 1 到 阶段 4 ， 推动 该 公司 发展 的 最 主要 动力 是 保障 能源 供应!@#从 阶 段 1到 阶 段 4 ， 推动 该 公司 发展 的 最 主要 动力 是 保障 能源 供应!@#从 阶段 1 到 阶段 4 ， 推动 该 公司 发展 的 最 主要 动力 是 保障 能源 供应!@#P NN NN P NN NN PU VV DT NN VV DEC AD JJ NN VC VV NN NN!@#P NN CD P NN CD PU VV DT NN VV DEC AD VA NN VC VV NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (PP (PP (P 从) (NP (NN 阶段) (NN 1))) (PP (P 到) (NP (NN 阶段) (NN 4)))) (PU ，) (NP (CP (IP (VP (VV 推动) (NP (DP (DT 该)) (NP (NN 公司))) (IP (VP (VV 发展))))) (DEC 的)) (ADJP (ADVP (AD 最)) (ADJP (JJ 主要))) (NP (NN 动力))) (VP (VC 是) (IP (VP (VV 保障) (NP (NN 能源) (NN 供应)))))) )!@#!@#!@#!@#指示_0(从阶段1到阶段4，推动该公司发展的动力,保障能源供应)!@#指示!@#0_15!@#0-18!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#12-13!@#
15-A!@#该公司向国外拓展最早利用的方式是	设立工厂!@#None!@#该 公司 向 国外 拓展 最早 利用 的 方式 是 设立 工厂!@#该 公司 向 国外 拓展 最早 利用 的 方式 是 设立 工厂!@#该 公司 向 国外 拓展 最早 利用 的 方式 是 设立 工厂!@#该 公司 向 国外 拓展 最早 利用 的 方式 是 设立 工厂!@#DT NN P NN VV AD VV DEC NN VC VV NN!@#DT NN P NN VV AD VV DEC NN VC VV NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (NP (DP (DT 该)) (NP (NN 公司))) (CP (IP (VP (VP (PP (P 向) (NP (NN 国外))) (VP (VV 拓展))) (VP (ADVP (AD 最早)) (VP (VV 利用))))) (DEC 的)) (NP (NN 方式))) (VP (VC 是) (VP (VV 设立) (NP (NN 工厂))))) )!@#!@#!@#!@#指示_0(该公司向国外拓展最早利用的方式,设立工厂)!@#指示!@#0_9!@#0-11!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#null!@#名词短语+动词短语!@#9!@#!@#
15-B!@#该公司向国外拓展最早利用的方式是	设立销售代理商!@#None!@#该 公司 向 国外 拓展 最早 利用 的 方式 是 设立 销售 代理商!@#该 公司 向 国外 拓展 最早 利用 的 方式 是 设立 销售 代理商!@#该 公司 向 国外 拓展 最早 利用 的 方式 是 设立 销售 代理商!@#该 公司 向 国外 拓展 最早 利用 的 方式 是 设立 销售 代理商!@#DT NN P NN VV AD VV DEC NN VC VV NN NN!@#DT NN P NN VV AD VV DEC NN VC VV NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (NP (DP (DT 该)) (NP (NN 公司))) (CP (IP (VP (VP (PP (P 向) (NP (NN 国外))) (VP (VV 拓展))) (VP (ADVP (AD 最早)) (VP (VV 利用))))) (DEC 的)) (NP (NN 方式))) (VP (VC 是) (IP (VP (VV 设立) (NP (NN 销售) (NN 代理商)))))) )!@#!@#!@#!@#指示_0(该公司向国外拓展最早利用的方式,设立销售代理商)!@#指示!@#0_9!@#0-12!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#!@#
15-C!@#该公司向国外拓展最早利用的方式是	设立销售部!@#None!@#该 公司 向 国外 拓展 最早 利用 的 方式 是 设立 销售部!@#该 公司 向 国外 拓展 最早 利用 的 方式 是 设立 销售部!@#该 公司 向 国外 拓展 最早 利用 的 方式 是 设立 销售部!@#该 公司 向 国外 拓展 最早 利用 的 方式 是 设立 销售部!@#DT NN P NN VV AD VV DEC NN VC VV NN!@#DT NN P NN VV AD VV DEC NN VC VV NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (NP (DP (DT 该)) (NP (NN 公司))) (CP (IP (VP (VP (PP (P 向) (NP (NN 国外))) (VP (VV 拓展))) (VP (ADVP (AD 最早)) (VP (VV 利用))))) (DEC 的)) (NP (NN 方式))) (VP (VC 是) (VP (VV 设立) (NP (NN 销售部))))) )!@#!@#!@#!@#指示_0(该公司向国外拓展最早利用的方式,设立销售部)!@#指示!@#0_9!@#0-11!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#!@#
15-D!@#该公司向国外拓展最早利用的方式是	设立研发中心!@#None!@#该 公司 向 国外 拓展 最早 利用 的 方式 是 设立 研发 中心!@#该 公司 向 国外 拓展 最早 利用 的 方式 是 设立 研发 中心!@#该 公司 向 国外 拓展 最早 利用 的 方式 是 设立 研发 中心!@#该 公司 向 国外 拓展 最早 利用 的 方式 是 设立 研发 中心!@#DT NN P NN VV AD VV DEC NN VC VV NN NN!@#DT NN P NN VV AD VV DEC NN VC VV NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (NP (DP (DT 该)) (NP (NN 公司))) (CP (IP (VP (VP (PP (P 向) (NP (NN 国外))) (VP (VV 拓展))) (VP (ADVP (AD 最早)) (VP (VV 利用))))) (DEC 的)) (NP (NN 方式))) (VP (VC 是) (IP (VP (VV 设立) (NP (NN 研发) (NN 中心)))))) )!@#!@#!@#!@#指示_0(该公司向国外拓展最早利用的方式,设立研发中心)!@#指示!@#0_9!@#0-12!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#!@#
16-A!@#根据人口增长的一般规律判断，图中①②③④四个时期按先后顺序排列应是	①②③④!@#None!@#根据 人口 增长 的 一般 规律 判断 ， 图 中 ① ② ③ ④ 四个 时期 按 先后 顺序 排列 应 是 ① ② ③ ④!@#根据 人口 增长 的 一般 规律 判断 ， 图 中 ① ② ③ ④ 四个 时期 按 先后 顺序 排列 应 是 ① ② ③ ④!@#根据 人口 增长 的 一般 规律 判断 ， 图 中 ① ② ③ ④ 四 个 时期 按 先后 顺序 排列 应 是 ① ② ③ ④!@#根据 人口 增长 的 一般 规律 判断 ， 图 中 ① ② ③ ④ 四 个 时期 按 先后 顺序 排列 应 是 ① ② ③ ④!@#P NN NN DEG JJ NN VV PU NN LC NN NN NN NN NN NN P NN NN VV VV VC NN NN NN NN!@#P NN NN DEG JJ NN VV PU NN LC NN NN NN NN NN NN P NN NN VV VV VC NN NN NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (PP (P 根据) (IP (NP (DNP (NP (NN 人口) (NN 增长)) (DEG 的)) (ADJP (JJ 一般)) (NP (NN 规律))) (VP (VV 判断)))) (PU ，) (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NP (NN ①) (NN ②)) (NP (NN ③) (NN ④))) (NP (NN 四个) (NN 时期))) (VP (PP (P 按) (NP (NN 先后) (NN 顺序))) (VP (VV 排列)))) (VP (VV 应) (VP (VC 是) (NP (NP (NN ①) (NN ②)) (NP (NN ③) (NN ④)))))) )!@#!@#!@#!@#指示_0(①②③④四个时期按先后顺序排列,①②③④)!@#指示!@#0_19-20-21!@#10-25!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#条件状语!@#名词短语+动词短语!@#20-21!@#0 6-9!@#1-5
16-B!@#根据人口增长的一般规律判断，图中①②③④四个时期按先后顺序排列应是	①②④③!@#None!@#根据 人口 增长 的 一般 规律 判断 ， 图 中 ① ② ③ ④ 四个 时期 按 先后 顺序 排列 应 是 ① ② ④ ③!@#根据 人口 增长 的 一般 规律 判断 ， 图 中 ① ② ③ ④ 四个 时期 按 先后 顺序 排列 应 是 ① ② ④ ③!@#根据 人口 增长 的 一般 规律 判断 ， 图 中 ① ② ③ ④ 四 个 时期 按 先后 顺序 排列 应 是 ① ② ④ ③!@#根据 人口 增长 的 一般 规律 判断 ， 图 中 ① ② ③ ④ 四 个 时期 按 先后 顺序 排列 应 是 ① ② ④ ③!@#P NN NN DEG JJ NN VV PU NN LC NN NN NN NN NN NN P NN NN VV VV VC NN NN NN NN!@#P NN NN DEG JJ NN VV PU NN LC NN NN NN NN NN NN P NN NN VV VV VC NN NN NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (PP (P 根据) (IP (NP (DNP (NP (NN 人口) (NN 增长)) (DEG 的)) (ADJP (JJ 一般)) (NP (NN 规律))) (VP (VV 判断)))) (PU ，) (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NP (NN ①) (NN ②)) (NP (NN ③) (NN ④))) (NP (NN 四个) (NN 时期))) (VP (PP (P 按) (NP (NN 先后) (NN 顺序))) (VP (VV 排列)))) (VP (VV 应) (VP (VC 是) (NP (NP (NN ①) (NN ②)) (NP (NN ④) (NN ③)))))) )!@#!@#!@#!@#指示_0(①②③④四个时期按先后顺序排列,①②④③)!@#指示!@#0_19-20-21!@#10-25!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#0 6-9!@#1-5
16-C!@#根据人口增长的一般规律判断，图中①②③④四个时期按先后顺序排列应是	③①②④!@#None!@#根据 人口 增长 的 一般 规律 判断 ， 图 中 ① ② ③ ④ 四个 时期 按 先后 顺序 排列 应 是 ③ ① ② ④!@#根据 人口 增长 的 一般 规律 判断 ， 图 中 ① ② ③ ④ 四个 时期 按 先后 顺序 排列 应 是 ③ ① ② ④!@#根据 人口 增长 的 一般 规律 判断 ， 图 中 ① ② ③ ④ 四 个 时期 按 先后 顺序 排列 应 是 ③ ① ② ④!@#根据 人口 增长 的 一般 规律 判断 ， 图 中 ① ② ③ ④ 四 个 时期 按 先后 顺序 排列 应 是 ③ ① ② ④!@#P NN NN DEG JJ NN VV PU NN LC NN NN NN NN NN NN P NN NN VV VV VC NN NN NN NN!@#P NN NN DEG JJ NN VV PU NN LC NN NN NN NN NN NN P NN NN VV VV VC NN NN NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (PP (P 根据) (IP (NP (DNP (NP (NN 人口) (NN 增长)) (DEG 的)) (ADJP (JJ 一般)) (NP (NN 规律))) (VP (VV 判断)))) (PU ，) (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NP (NN ①) (NN ②)) (NP (NN ③) (NN ④))) (NP (NN 四个) (NN 时期))) (VP (PP (P 按) (NP (NN 先后) (NN 顺序))) (VP (VV 排列)))) (VP (VV 应) (VP (VC 是) (NP (NP (NN ③) (NN ①)) (NP (NN ②) (NN ④)))))) )!@#!@#!@#!@#指示_0(①②③④四个时期按先后顺序排列,③①②④)!@#指示!@#0_19-20-21!@#10-25!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#0 6-9!@#1-5
